,NDC-SEM,SEM-UCB,FTRL,CUCB,Random,CTS
50,1.0,2.420402454740889,-0.5795975452591104,4.0,2.0,0.4204024547408891
51,2.0,1.0,2.0,1.0,1.0,1.0
52,2.0,2.0,2.0,3.0,1.0,1.0
53,3.0,1.0,1.0,2.0,2.0,1.0
54,2.0,3.0,2.0,3.0,3.0,3.0
55,1.0,3.0,1.0,3.0,3.0,2.0
56,2.0,1.0,2.0,2.0,2.0,3.0
57,2.0,3.0,2.0,1.0,1.0,3.0
58,1.0,2.0,2.0,1.0,2.0,2.0
59,2.0,3.0,2.0,3.0,2.0,1.0
60,1.0,1.0,2.0,1.0,2.0,2.0
61,1.0,-0.9970226289095705,-3.047912025568767,-0.4174250836504596,-0.9970226289095705,-3.047912025568767
62,2.0,2.0,3.0,1.0,2.0,3.0
63,1.0,2.0,3.0,3.0,2.0,3.0
64,3.0,1.0,4.0,1.0,2.0,2.0
65,1.0,0.0,2.0,0.5825749163495404,0.0,-0.4174250836504596
66,3.0,3.0,2.0,3.0,2.0,2.0
67,0.0,2.0,0.0,3.0,2.0,3.0
68,1.420402454740889,1.0,0.4204024547408891,2.0,2.0,1.420402454740889
69,-0.5795975452591109,0.0,1.0,1.0,1.0,1.420402454740889
70,2.0,2.0,1.0,3.0,2.0,3.0
71,3.0,2.0,2.0,2.0,1.0,2.0
72,1.0,2.0,1.0,-1.4683144803096564,2.0,2.0
73,0.0,-1.4683144803096555,1.0,1.487637964345791,-1.4683144803096564,-3.4683144803096564
74,0.5825749163495404,1.5825749163495404,1.0,-0.9297871193046685,1.0702128806953315,0.4876379643457911
75,0.5825749163495404,0.5825749163495404,0.5825749163495404,2.0,0.5825749163495404,1.0
76,3.0,2.0,2.0,2.0,2.0,1.0
77,3.0,3.0,0.4876379643457911,3.0,2.0,2.0
78,1.0,1.0,3.0,1.0,2.0,2.0
79,2.0,3.0,3.0,2.0,1.0,2.0
80,1.0,4.0,1.0,-1.4683144803096555,-1.4683144803096564,3.0
81,4.0,3.0,2.0,2.0,3.0,3.0
82,2.0,3.0,3.0,2.0,3.0,3.0
83,1.0,1.0,1.0,1.0,2.0,1.0
84,2.0,2.0,1.0,2.0,1.0,2.0
85,1.0,2.0,3.0,-0.4174250836504596,2.0,0.0
86,1.0,2.0,2.0,2.0,1.0,3.0
87,2.0,1.0,2.0,0.0,2.0,1.0
88,1.0,0.4204024547408891,1.0,0.4204024547408891,1.420402454740889,3.0
89,1.0,1.0,2.0,1.0,2.0,3.0
90,1.0,2.0,3.0,2.0,3.0,4.0
91,1.0,1.0,1.0,2.0,2.0,1.0
92,2.0,0.5825749163495404,0.5825749163495404,2.0,0.5825749163495404,1.0
93,0.4876379643457911,1.420402454740889,3.0,-0.09195958091332024,0.4204024547408891,-0.5123620356542089
94,2.0,1.0,3.0,1.0,2.0,2.0
95,-1.579597545259111,-1.579597545259111,0.0,0.4204024547408891,1.0,2.0
96,1.0,0.0,0.0,1.0,0.0,1.0
97,1.0,2.0,4.0,1.0,1.0,3.0
98,0.0029773710904290596,3.0,1.420402454740889,0.5825749163495404,0.5825749163495404,0.4204024547408891
99,0.5825749163495402,1.0,-0.4174250836504596,1.0,1.0,0.0
100,1.0,2.0,1.0,3.0,1.0,2.0
101,3.0,1.0,-2.4683144803096564,1.0,-2.4683144803096564,-1.4683144803096555
102,-0.9970226289095709,-0.9970226289095709,0.0,1.5825749163495402,-0.4174250836504596,0.0029773710904290596
103,2.0,2.0,3.0,1.0,2.0,2.0
104,0.0,0.0,0.0,-1.4174250836504598,0.0,0.0
105,2.0,0.5825749163495404,0.5825749163495404,2.0,1.0,0.5825749163495404
106,2.0,1.0,1.0,2.0,2.0,1.0
107,1.5825749163495404,4.0,1.0,2.5825749163495404,3.0,1.5825749163495404
108,-3.4683144803096564,2.0,2.0,2.0,-3.4683144803096555,-2.4683144803096564
109,1.420402454740889,-0.4174250836504596,2.0,-0.9970226289095709,-0.9970226289095709,2.0
110,2.0,1.0,3.0,2.0,1.0,2.0
111,0.5825749163495404,0.5825749163495404,0.5825749163495404,1.0,0.5825749163495404,3.0
112,2.0,1.0,1.0,1.0,0.0,1.0
113,1.487637964345791,2.0,1.0,-0.5123620356542089,1.0,1.0
114,2.0,3.0,3.0,-2.4683144803096564,2.0,2.0
115,-0.4174250836504596,0.5825749163495404,3.0,0.5825749163495404,0.5825749163495404,1.5825749163495404
116,-0.9970226289095709,-1.997022628909571,1.0,1.420402454740889,2.0,0.4204024547408891
117,2.0,0.4204024547408891,3.0,0.5825749163495404,1.420402454740889,0.4204024547408891
118,2.0,2.0,1.5825749163495404,1.420402454740889,0.4204024547408891,3.0
119,3.0,1.0,4.0,1.0,2.0,2.0
120,3.0,3.0,3.0,2.0,2.0,2.0
121,2.0,2.0,1.0,2.0,1.0,2.0
122,2.0,2.0,3.0,2.0,3.0,2.0
123,3.0,3.0,2.0,2.0,2.0,3.0
124,2.0,1.0,1.0,2.0,1.0,1.0
