,NDC-SEM,SEM-UCB,FTRL,CUCB,Random,CTS,CUCB-SW
4084,0.0,1.0000000000000004,1.0000000000000004,4.09195958091332,0.5123620356542093,4.09195958091332,2.936248940499627
4085,0.0,1.0000000000000004,1.0000000000000004,3.0919595809133202,0.5795975452591113,3.0919595809133202,2.936248940499627
4086,1.0000000000000018,1.7763568394002505e-15,4.468314480309656,6.560274061222977,5.047912025568768,6.560274061222977,2.9858703201954517
4087,0.0,1.0000000000000018,5.468314480309656,7.560274061222977,2.5795975452591122,7.560274061222977,1.667873811106333
4088,0.0,1.0000000000000004,1.0000000000000004,3.0919595809133202,2.0919595809133202,3.0919595809133202,2.273900257544427
4089,0.0,1.0,0.0,1.512362035654209,1.0,1.512362035654209,2.9858703201954517
4090,0.0,1.0000000000000004,1.0000000000000004,3.0919595809133202,3.0919595809133202,3.0919595809133202,2.9858703201954517
4091,0.0,1.0000000000000004,1.0000000000000004,4.09195958091332,1.5123620356542093,4.09195958091332,2.852727454344661
4092,0.0,0.0,1.0000000000000004,4.09195958091332,1.5795975452591113,4.09195958091332,2.852727454344661
4093,0.0,0.0,5.468314480309656,8.560274061222977,6.047912025568768,8.560274061222977,2.781537598371631
4094,-1.0000000000000004,0.0,-1.0000000000000004,2.09195958091332,1.579597545259111,2.09195958091332,2.781537598371631
4095,0.0,0.0,1.0,2.512362035654209,1.0,2.512362035654209,2.2242788778486022
4096,-1.0000000000000004,0.0,0.0,2.09195958091332,1.0919595809133198,2.09195958091332,1.728356734743823
4097,0.0,0.0,1.0000000000000004,4.09195958091332,0.0,4.09195958091332,0.9774722247325132
4098,0.0,0.0,1.0000000000000004,4.09195958091332,3.0919595809133202,4.09195958091332,1.0116933291578052
4099,-1.0000000000000018,0.0,4.468314480309655,7.560274061222975,7.560274061222975,7.560274061222975,1.6448352485888567
4100,0.0,0.0,1.0000000000000004,3.0919595809133202,3.0919595809133202,3.0919595809133202,1.5347309452555424
4101,0.0,0.0,1.0000000000000004,4.09195958091332,0.0,4.09195958091332,2.781537598371631
4102,0.0,0.0,5.468314480309656,6.560274061222977,2.5795975452591122,6.560274061222977,2.781537598371631
4103,-1.0000000000000004,0.0,-1.0000000000000004,2.09195958091332,-1.0000000000000004,2.09195958091332,2.2242788778486022
4104,0.0,0.0,1.0000000000000004,4.09195958091332,1.1621724616086517,4.09195958091332,2.2242788778486022
4105,-1.0000000000000004,0.0,0.0,3.09195958091332,0.5123620356542089,3.09195958091332,2.936248940499627
4106,0.0,0.0,5.468314480309656,6.047912025568767,1.0,6.047912025568767,2.936248940499627
4107,0.0,0.0,1.0,2.512362035654209,1.512362035654209,2.512362035654209,2.308121361969719
4108,-1.0000000000000004,0.0,-1.0000000000000004,2.09195958091332,1.579597545259111,2.09195958091332,2.9858703201954517
4109,0.0,0.0,1.0,1.512362035654209,0.5123620356542089,1.512362035654209,1.728356734743823
4110,1.0,0.0,1.0,2.579597545259111,0.0,2.579597545259111,1.6448352485888567
4111,0.0,0.0,1.0000000000000004,3.0919595809133202,-0.9050630479962507,3.0919595809133202,1.6448352485888567
4112,1.0000000000000004,0.0,1.0000000000000004,4.09195958091332,2.5795975452591113,4.09195958091332,1.6448352485888567
4113,0.0,0.0,1.0000000000000004,3.0919595809133202,1.5795975452591113,3.0919595809133202,1.5347309452555424
4114,-1.0000000000000004,0.0,-1.0000000000000004,2.09195958091332,2.09195958091332,2.09195958091332,2.174978496118928
4115,0.0,0.0,0.0,2.0919595809133202,2.0919595809133202,2.0919595809133202,2.2954687338216315
4116,0.0,0.0,0.0,3.09195958091332,1.512362035654209,3.09195958091332,0.6904015863738193
4117,0.0,0.0,5.468314480309656,7.560274061222977,2.0919595809133202,7.560274061222977,0.6904015863738193
4118,1.0000000000000004,0.0,0.0,2.0919595809133202,0.5123620356542093,2.0919595809133202,1.667873811106333
4119,0.0,0.0,1.0000000000000004,4.09195958091332,2.0919595809133202,4.09195958091332,1.1217976324911199
4120,0.0,0.0,5.468314480309656,8.560274061222977,2.6745344972628615,8.560274061222977,2.781537598371631
4121,1.0000000000000004,0.0,0.0,2.0919595809133202,0.0,2.0919595809133202,2.9903891031177166
4122,0.0,0.0,1.0000000000000004,4.09195958091332,3.0919595809133202,4.09195958091332,3.0119575793949216
